model,G_total,G_income_1980,G_income_2023,G_income_avg,G_subst_avg
NHCES,0.019133999991129746,0.059292840350868625,0.038306346349065254,0.04879959334996694,-0.029665593358837193
PIGL,-0.21877388137630782,0.08082411855838217,0.05481215663887228,0.06781813759862723,-0.286592018974935
HCD,0.11618527493222341,0.11618527493222343,0.11618527493222343,0.11618527493222343,-1.3877787807814457e-17
