year,Pg,Ps,sg,e,C
1980.0,1.0,1.0,0.2397608796473881,1.1132692826969102,1.0673527346333822
1981.0,0.9896583785665103,1.0106793503571663,0.2353319854197993,1.1404071253696364,1.0793459137543748
1982.0,0.9794237062668937,1.0214727492383833,0.23096990432377498,1.1682064993684993,1.09138526597587
1983.0,0.9692948770736958,1.0323814146077974,0.22667424736380784,1.1966835306509205,1.1034710950424187
1984.0,0.9592707963975784,1.0434065774366208,0.22244459919079712,1.2258547382721126,1.1156037256009057
1985.0,0.9493503809690323,1.054549481842038,0.21828051957015876,1.2557370439675097,1.1277835026683634
1986.0,0.9395325587213113,1.0658113852275972,0.2141815448110846,1.2863477819687865,1.14001079110258
1987.0,0.9298162686745772,1.0771935584250991,0.2101471891580469,1.3177047090591598,1.1522859750859373
1988.0,0.9202004608212445,1.088697285838003,0.2061769461430167,1.3498260148738048,1.1646094576158657
1989.0,0.9106840960125082,1.100323865586363,0.2022702898983808,1.3827303324513618,1.176981660003575
1990.0,0.9012661458460468,1.112074609653311,0.1984266764316124,1.4164367490426544,1.189403021390154
1991.0,0.8919455925548865,1.1239508440331074,0.19464554485862168,1.4509648171828875,1.2018739982585334
1992.0,0.882721428897414,1.1359539088807695,0.19092631860005496,1.4863345660337506,1.214395063971916
1993.0,0.8735926580485278,1.1480851586632994,0.18726840653649918,1.522566513002003,1.2269667083080797
1994.0,0.8645582934919135,1.1603459623125272,0.18367120412632643,1.5596816756412824,1.2395894370160034
1995.0,0.8556173589134359,1.1727377033795858,0.18013409448380086,1.5977015838440407,1.2522637713741562
1996.0,0.8467688880956308,1.1852617801910346,0.17665644941979797,1.6366482923306787,1.2649902477661523
1997.0,0.8380119248132886,1.197919606006653,0.1732376304442506,1.6765443934431246,1.2777694172630243
1998.0,0.8293455227301194,1.2107126091789164,0.1698769897316166,1.7174130302502784,1.2906018452187324
1999.0,0.8207687452964846,1.2236422333141768,0.1665738710496102,1.7592779099729239,1.3034881108764265
2000.0,0.8122806656481877,1.236709937435564,0.16332761065163767,1.8021633177358953,1.3164288069838084
2001.0,0.8038803665063112,1.2499171961476274,0.16013753813393078,1.8460941306554772,1.3294245394208972
2002.0,0.7955669400780878,1.2632654998027346,0.157002977257946,1.8910958322702078,1.342475926839382
2003.0,0.7873394879588002,1.2767563546692484,0.15392324673842173,1.9371945273234594,1.3555836003102415
2004.0,0.7791971210346925,1.2903912831014994,0.15089766099838503,1.9844169569063683,1.3687482029854272
2005.0,0.7711389593868864,1.3041718237115734,0.14792553089123667,2.0327905139698994,1.3819703897669917
2006.0,0.7631641321962918,1.3180995315429334,0.1450061643911584,2.0823432592150444,1.395250826988622
2007.0,0.7552717776494998,1.3321759782458966,0.14213886725219987,2.1331039373703717,1.4085901921046224
2008.0,0.7474610428456496,1.346402752254985,0.1393229436377376,2.185101993866367,1.4219891733970924
2009.0,0.7397310837042584,1.3607814589681686,0.13655769671938237,2.2383675919162416,1.4354484696802063
2010.0,0.7320810648740037,1.3753137209280253,0.13384242924834774,2.292931630013114,1.4489687900284893
2011.0,0.7245101596424505,1.3900011780048334,0.13117644409806803,2.348825759853715,1.462550853503843
2012.0,0.717017549846711,1.4048454875816205,0.128559044780181,2.406082404699013,1.4761953888974688
2013.0,0.7096024257850279,1.4198483247411888,0.1259895359343627,2.4647347781824136,1.4899031344829528
2014.0,0.7022639861292729,1.435011382455135,0.12346722379226607,2.5248169035764376,1.5036748377722473
2015.0,0.6950014378383502,1.4503363717748945,0.1209914166172536,2.5863636335290607,1.5175112552869563
2016.0,0.6878139960724949,1.4658250220248197,0.11856142512005614,2.6494106702811573,1.5314131523354104
2017.0,0.6807008841084572,1.4814790809973235,0.11617656285146913,2.713994586376781,1.5453813028000787
2018.0,0.6736613332555655,1.497300315150106,0.1138361465726375,2.7801528458782925,1.5594164889316058
2019.0,0.6666945827726565,1.5132905098054892,0.11153949660398539,2.847923826098644,1.5735195011540055
2020.0,0.6597998797858632,1.5294514693518766,0.10928593715316033,2.917346839863423,1.5876911378744136
2021.0,0.6529764792072555,1.5457850174473675,0.10707479662316059,2.988462158315574,1.6019322053044136
2022.0,0.6462236436543211,1.562292997225546,0.10490540790108774,3.061311034276022,1.6162435172879854
2023.0,0.6395406433702776,1.5789772715034647,0.10277710862824088,3.1359357261737517,1.630625895135654
