sigma,eta_s,income_effect,dsg,dlnp,gapP,gapL,spread,hcd_bound,pct_of_hcd
0.01,1.201051,0.1990404900000001,-0.13751309644301568,-0.9037824459996717,0.007136801729653808,-0.00794028938360447,0.015077091113258279,0.12428192266025746,12.131362945256068
0.1,1.418465,0.3766185000000001,-0.1372895291810377,-0.9037824459996717,0.011944076448868746,-0.012744897980147663,0.024688974429016408,0.12407986649338157,19.897647480409983
0.2,1.85458,0.6836639999999999,-0.13698377101914722,-0.9037824459996717,0.01750508910081927,-0.017802668506181618,0.03530775760700089,0.12380352763394381,28.519185423695788
0.3,2.93197,1.352379,-0.13659324055063107,-0.9037824459996717,0.023307141395914277,-0.022541402897297225,0.0458485442932115,0.1234505730518709,37.139191143282154
0.34,3.991059,1.9740989399999997,-0.13640499927763086,-0.9037824459996717,0.025698149966680184,-0.024339410183890964,0.05003756015057115,0.12328044389372067,40.58840037411629
